noun,prompt,cueColor
leaf,normal,purple
taxi,normal,purple
coal,creative,darkgreen
house,creative,darkgreen
rock,normal,purple
card,normal,purple
shoe,creative,darkgreen
oath,creative,darkgreen
birth,normal,purple
street,normal,purple
lamp,creative,darkgreen
canoe,creative,darkgreen
needle,normal,purple
home,normal,purple
office,creative,darkgreen
belt,creative,darkgreen
finger,normal,purple
blade,normal,purple
oven,creative,darkgreen
fist,creative,darkgreen
cart,normal,purple
tongue,normal,purple
shovel,creative,darkgreen
dish,creative,darkgreen
pill,normal,purple
flower,normal,purple
note,creative,darkgreen
church,creative,darkgreen
boot,normal,purple
snow,normal,purple
feet,creative,darkgreen
paper,creative,darkgreen
artist,normal,purple
tree,normal,purple
cannon,creative,darkgreen
tune,creative,darkgreen
poem,normal,purple
soap,normal,purple
drum,creative,darkgreen
bucket,creative,darkgreen
cafe,normal,purple
store,normal,purple
muscle,creative,darkgreen
couch,creative,darkgreen
drug,normal,purple
rose,normal,purple
soup,creative,darkgreen
letter,creative,darkgreen
pillow,normal,purple
tool,normal,purple
debt,creative,darkgreen
music,creative,darkgreen
ring,normal,purple
hole,normal,purple
horn,creative,darkgreen
razor,creative,darkgreen
golf,normal,purple
manual,normal,purple
infant,creative,darkgreen
clay,creative,darkgreen
hair,normal,purple
baby,normal,purple
money,creative,darkgreen
phone,creative,darkgreen
glass,normal,purple
pan,normal,purple
candle,creative,darkgreen
grass,creative,darkgreen
bread,normal,purple
sofa,normal,purple
key,creative,darkgreen
ship,creative,darkgreen
