noun,prompt,cueColor
leaf,normal,purple
taxi,normal,purple
coal,creative,darkgreen
house,creative,darkgreen
leaf,normal,purple
taxi,normal,purple
coal,creative,darkgreen
house,creative,darkgreen
leaf,normal,purple
taxi,normal,purple
coal,creative,darkgreen
house,creative,darkgreen
leaf,normal,purple
taxi,normal,purple
coal,creative,darkgreen
house,creative,darkgreen
leaf,normal,purple
taxi,normal,purple
coal,creative,darkgreen
house,creative,darkgreen
leaf,normal,purple
taxi,normal,purple
coal,creative,darkgreen
house,creative,darkgreen
